Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
blank,Equatorial Guinea,2020-03-15T06:41:54,1,0,0,1.5,10
blank,Eswatini,2020-03-15T06:41:54,1,0,0,-26.5225,31.4659
blank,Ethiopia,2020-03-13T23:33:06,1,0,0,9.145,40.4897
Mayotte,France,2020-03-14T20:53:03,1,0,0,-12.8275,45.1662
Saint Barthelemy,France,2020-03-14T16:33:03,1,0,0,17.9,-62.8333
blank,Gabon,2020-03-14T13:33:04,1,0,0,-0.8037,11.6094
blank,Guadeloupe,2020-03-13T12:33:03,3,0,0,16.265,-61.551
blank,Guatemala,2020-03-14T01:33:03,1,0,0,15.7835,-90.2308
blank,Guernsey,2020-03-13T22:22:03,1,0,0,49.45,-2.58
blank,Guinea,2020-03-15T06:41:54,1,0,0,9.9456,-9.6966
blank,Holy See,2020-03-13T22:22:02,1,0,0,41.9029,12.4534
blank,Kenya,2020-03-13T22:22:03,3,0,0,-0.0236,37.9062
blank,Mauritania,2020-03-15T18:20:19,1,0,0,21.0079,-10.9408
blank,Mongolia,2020-03-13T22:22:02,1,0,0,46.8625,103.8467
blank,Nepal,2020-03-13T22:22:03,1,0,1,28.3949,84.124
blank,Rwanda,2020-03-15T06:41:54,1,0,0,-1.9403,29.8739
blank,Saint Lucia,2020-03-14T16:15:18,2,0,0,13.9094,-60.9789
blank,Saint Vincent and the Grenadines,2020-03-14T16:33:03,1,0,0,12.9843,-61.2872
blank,Sudan,2020-03-14T01:13:32,1,1,0,12.8628,30.2176
blank,Suriname,2020-03-14T16:33:03,1,0,0,3.9193,-56.0278
blank,Togo,2020-03-13T22:22:02,1,0,0,8.6195,0.8248
Alaska,US,2020-03-13T14:53:03,1,0,0,61.3707,-152.4044
North Dakota,US,2020-03-12T09:33:03,1,0,0,47.5289,-99.784
"Virgin Islands, U.S.",US,2020-03-14T16:15:18,1,0,0,18.3358,-64.8963
Gibraltar,United Kingdom,2020-03-14T16:33:03,1,0,1,36.1408,-5.3536
blank,Uzbekistan,2020-03-15T18:20:19,1,0,0,41.3775,64.5853
From Diamond Princess,Australia,2020-03-14T02:33:04,0,0,0,35.4437,139.638
West Virginia,US,2020-03-10T02:33:04,0,0,0,38.4912,-80.9545
blank,occupied Palestinian territory,2020-03-11T20:53:02,0,0,0,31.9522,35.2332
